Job Title,Department,Service Area,Earnings,meta_row_index,meta_row_id
LINE CREW CHIEF,Electric Field Services,Utility Services,110040.78,160,685a0a8fb62eb1faca3b1a8d53ec6904f8c95160
CAPTAIN I - 56 HR/WK,Poudre Fire Authority,Poudre Fire Authority,109991.79,161,16284f7505363bfb15885c957ffa0d7c8f97eced
LINE CREW CHIEF,Electric Field Services,Utility Services,109956.94,162,9fd4ae3e69554adcc32341926198dca74e1b7c67
SR ASSISTANT CITY ATTORNEY,City Attorney's Office,Legal Services,109935.52,163,13d4cc022380aff52df68bb074cf7da0350743b1
CAPTAIN I - 56 HR/WK,Poudre Fire Authority,Poudre Fire Authority,109909.80,164,0ad1dba8ec2799c06d2c0da074ed2322677e76f7
"SR MANAGER, TECHNOLOGY",Information Technology,Information & Employee Svcs,109709.29,165,e6516d968705b81034540232c97d7217928186b3
"MANAGER, APPLICATIONS SOFTWARE",Information Technology,Information & Employee Svcs,109649.47,166,578862035603523970bdb6960b041968909776b6
"SR MANAGER, WATER ENGINEERING",Ut Water Resources Div,Utility Services,109644.90,167,5a01760d9d5c534f7be05be974389367f887b79a
CAPTAIN II - 40 HR/WK,Poudre Fire Authority,Poudre Fire Authority,109638.49,168,70e82b69bdfd6ebc7f48be332c5def56d71b3fac
"SR MANAGER, MECHANICAL ENGR",Utilities Customer Connections,Utility Services,109531.87,169,f628feeacdc1285ec5f5642588047dbc06970f7f
POLICE OFFICER,Investigations,Police Services,109394.74,170,fdb670b0994d377d04fc83db658dc051d7386dc7
CIVIL ENGINEER III,Ut Water Systems Engr Div,Utility Services,109356.61,171,0ec7e4e9eb6b50d53b5b56958d3898f164b12958
CAPTAIN I - 56 HR/WK,Poudre Fire Authority,Poudre Fire Authority,109271.76,172,e4fc56c7af2586dd69ce209606ff66aae373ffbb
ELECTRIC LINEWORKER,Electric Field Services,Utility Services,109232.41,173,04700d7f3ea102b86f2a0f38b4fe3f690c0c13eb
CAPTAIN I - 56 HR/WK,Poudre Fire Authority,Poudre Fire Authority,109084.12,174,c393d6228007b2425f49bbcc955657b704de8286
"SR MANAGER, APPS SOFTWARE",Information Technology,Information & Employee Svcs,109070.22,175,e6c65aa6ad9abb51c5a6c3d01ef3f0b9e4cec467
POLICE OFFICER,Investigations,Police Services,108917.07,176,dea25a8edc775589b15945b067e7fe4f9f55993a
FIREFIGHTER II - 56 HR/WK,Poudre Fire Authority,Poudre Fire Authority,108813.99,177,bae4f299420b8df7a83bcfbf9e6cd18df73c0abf
POLICE OFFICER,Patrol,Police Services,101002.62,267,e1c6487e59f3fb78afd2cca8a69d3a2357e956ee
"SR MANAGER, BENEFITS",Human Resources,Information & Employee Svcs,108771.79,178,61172a84e257f94adf2ccf43ae748fb69c172dc3
"SR MANAGER, CIVIL ENGINEERING",Streets,"Planning, Dev & Transportation",108267.11,179,0520f26fa2eadfbb7469ec7d9a80ec48678c5611
CAPTAIN I - 56 HR/WK,Poudre Fire Authority,Poudre Fire Authority,108111.84,180,cdae7e204fb35901d02f0d0339a6b05d0e0ef640
CAPTAIN I - 56 HR/WK,Poudre Fire Authority,Poudre Fire Authority,107955.21,181,f54d06600d3a96272ac211c2b797070b6e4edb56
DEPUTY DIRECTOR,Library District,Library District,107836.53,182,c1c0059d9567e2275e51debbdacd3a50415a6789
CAPTAIN I - 56 HR/WK,Poudre Fire Authority,Poudre Fire Authority,107758.12,183,58867c0f66fc98d3a503547684945454c4fce47c
"DIRECTOR, BUDGET",Budget,Financial Services,107650.84,184,275112eab74049c79f920d31042df78bb64eb3f8
"SR MANAGER, SCIENCES",Ut Enviro Regulatory Affairs,Utility Services,107598.07,185,98f247ed281785663101eeb741ab5bec9b072251
CAPTAIN I - 56 HR/WK,Poudre Fire Authority,Poudre Fire Authority,107523.47,186,47545ae173be3a9b30f14742322b9aab04c463da
FIREFIGHTER II - 56 HR/WK,Poudre Fire Authority,Poudre Fire Authority,107432.01,187,358970232e4c653b305b031e8434a2ffe2a3467b
POLICE OFFICER,Patrol,Police Services,107370.85,188,8f93086125ab0b410a53041f40bc3d3e45ff4ba8
"SR ENGINEER, NETWORK",Broadband,Utility Services,107364.61,189,e95c6a3374dad38a8609de410f67637b9bd6c4ff
"ANALYST II, APPS SOFTWARE",Information Technology,Information & Employee Svcs,107276.79,190,688ccfb642c0fc8eedcf2e12596314841a8f31f2
"DIRECTOR, FP&A",Finance Administration,Financial Services,107265.30,191,c17a8dbcdbea6ce930ff742b4d7b421674cb26d4
"DIRECTOR, RECREATION",Recreation,Community Services,107119.67,192,ca8c3aca6e3db8631a50261e1a6582833059133a
POLICE CORPORAL,Community and Special Services,Police Services,106936.91,193,7187e4df281a512d4769b16d81abed4b73ec4ec8
FIREFIGHTER II - 56 HR/WK,Poudre Fire Authority,Poudre Fire Authority,106904.17,194,92e3b25ba662319e600138cec6f1fda8ab13c7f6
POLICE SERGEANT,Patrol,Police Services,106890.04,195,f1f428ad4af1c2fd1b1e3d9894cb2e667eb65e50
"SR SUPERVISOR, EMERGENCY COMMS",Police Information Services,Police Services,106843.38,196,cd5fd561227e3477941b6da0a9c4d114871ce452
FIREFIGHTER II - 56 HR/WK,Poudre Fire Authority,Poudre Fire Authority,106605.08,197,318d121ac64d516c87100dc78b640b8a294781cc
CAPTAIN I - 56 HR/WK,Poudre Fire Authority,Poudre Fire Authority,106590.21,198,1a932f8bdf1f55f8ff4abd0e7b9af586d778b8dc
FIREFIGHTER II - 56 HR/WK,Poudre Fire Authority,Poudre Fire Authority,106567.53,199,fa66243f44ac4e60879e76a2274ef8b64ea78ced
"DIRECTOR, PARKS",Parks,Community Services,106553.38,200,94f6a2ff46f23df056a25fee9dfeb56591e672df
"SR ENGINEER, NETWORK",Information Technology,Information & Employee Svcs,106510.36,201,4617943eaddc20d2ee74175851d0288cd8bff2a5
"DIR, SOCIAL SUSTAINABILITY",Social Sustainability,Sustainability Services,106503.63,202,022cfe7ec3679b489cf38a35d4b1f4366acf51cd
