Job Title,Department,Service Area,Earnings,meta_row_index,meta_row_id
"SR SPC, NEIGHBORHOOD SVCS",Comm Dev & Neighborhood Svcs,"Planning, Dev & Transportation",60966.51,1087,9d846e8726040e755579e4a9468fd4da9f4be8e5
"TECH II, PROCESSING SUPPORT",Police Information Services,Police Services,60954.78,1088,0323222923b9dfee9d5bddda5f1752148bb722dc
"SPECIALIST, REAL ESTATE",Operation Services,Information & Employee Svcs,60927.03,1089,6b58583d2babe08884e2f80774dc4c0db2afc240
"SUPERVISOR, FACILITIES",Operation Services,Information & Employee Svcs,60924.07,1090,2c378b1f5582ec215e7dd557be664d817898cf0f
EMS CONTRACT COORDINATOR,Poudre Fire Authority,Poudre Fire Authority,60923.51,1091,7500a43b44ebcecc84dba216ecd0af2a558c98bb
"LOCATOR, ELEC DIST - FIELD OPS",Electric Field Services,Utility Services,60897.10,1092,c2ee3010c89ae4929f881f2ec48cd2936add1816
"SR SUPERVISOR, PROJECT MGMT",Utilities Customer Connections,Utility Services,60771.33,1093,b52938792835e25ef4d094060b141d309e0da4e4
"PLANNER, CITY",Comm Dev & Neighborhood Svcs,"Planning, Dev & Transportation",60765.00,1094,51864671712528a212796ee0d0bd71305c37ba69
PDT DEPUTY DIRECTOR,PDT Administration,"Planning, Dev & Transportation",60748.55,1095,c554aec16527a5af81eeb1072aeb1f8c67f30cc8
"SUPERVISOR, ADMINISTRATION",Parks,Community Services,60723.85,1096,dbcb30843987e4d76ea2c08e71761e630a39514c
MECHANIC,Operation Services,Information & Employee Svcs,60711.24,1097,fcb8163289e2ceff563a256ec43c0dc8134bbd1c
BUILDING INSPECTOR,Comm Dev & Neighborhood Svcs,"Planning, Dev & Transportation",60705.15,1098,2de9ff70b14aae5e1cff7dadf87306faf1cef84c
"SPECIALIST, PUBLIC ENGAGEMENT",Comm Dev & Neighborhood Svcs,"Planning, Dev & Transportation",60705.00,1099,13dab9bac86f4524800168e7af622c29811dc0b6
WATER UTILITY MAINT OPERATOR,Ut Drainage System Div,Utility Services,60699.35,1100,740b978c47e45bf1a84ab7e8dfbd4e2af87476aa
EXECUTIVE ADMINISTRATIVE ASST,Library District,Library District,60690.31,1101,cc9a941cd0d4473bdcc451a0c9bc6f6dc546e17d
"SR TECHNICIAN, CLIENT SERVICES",Information Technology,Information & Employee Svcs,60685.72,1102,4b2aa807f29c913e7f6f6ecff6af78d5e74586c3
"TECHNICIAN II, ENERGY SERVICES",Operation Services,Information & Employee Svcs,60678.10,1103,d319fe1da4b97b6d5f240b5a8feb162140141439
"LEAD INSPECTOR, COMPLIANCE",Utilities Customer Connections,Utility Services,60665.11,1104,d31485d74c6cd5b4db802c7c6bcfacb9d7dd2bd0
"SR TECHNICIAN, CLIENT SERVICES",Information Technology,Information & Employee Svcs,60633.13,1105,21150cd0e31ffbdaa46794549445bd065d296d4e
ANSWER CENTER SUPERVISOR,Library District,Library District,60625.71,1106,1e7a2df095dde6a0bdd1d723c4b1abea716d8381
"PLANNER, TRANSIT",Transfort / Parking Services,"Planning, Dev & Transportation",60597.57,1107,1fbd5dd4fc89db30819c3a80c0a78d25f35b6c07
"SPECIALIST, ACTIVE MODES",FC Moves,"Planning, Dev & Transportation",60593.96,1108,8346475367b72cf04238f3d8464b5f22a77471d8
CAPTAIN II - 40 HR/WK,Poudre Fire Authority,Poudre Fire Authority,60560.35,1109,0e3e8c0824603e4068b2bdd00914fd01847431f6
"OPERATOR II, TRANSPORTATION OP",Traffic,"Planning, Dev & Transportation",60542.93,1110,9ce0948a153a17bbe2e5d0dbfa4148e0cd2d498a
"TECHNICIAN I, CIVIL ENGR",Engineering,"Planning, Dev & Transportation",60526.43,1111,deb93b76de56be553afe1771680aef97d44da3cd
WATER UTILITY MAINT OPERATOR,Ut Collection System Div,Utility Services,60463.74,1112,2debb883269ddb22ccd2775e3dbf8d43b2607c21
"SUPERVISOR, TRANSIT",Transfort / Parking Services,"Planning, Dev & Transportation",60430.83,1113,9c7b428737f7cf5670429e589297a015231975b8
FACILITY MAINTENANCE TECH,Library District,Library District,60228.65,1114,5fb6f93be949843136ec23ef4875a3654384a986
"TECHNICIAN I, CIVIL ENGR",Ut Drainage System Div,Utility Services,60086.93,1115,1ee641dcf185b95ab88cd8fabab4b3bd235be022
"SUPERVISOR, ADMINISTRATION",Streets,"Planning, Dev & Transportation",60075.11,1116,2e70486906cd1b0c85e0635d7f2a8e962eb8f738
"TECHNICIAN I, PARKS",Parks,Community Services,60063.62,1117,bb5a3e2b8778a2ecc9589c62e67dc61dbc32e508
"ANALYST I, BENEFITS",Human Resources,Information & Employee Svcs,60017.06,1118,3ea496b65d80fbcaf322c45b6526dff9df3eb583
"SR SUPERVISOR, MARKETING",Cultural Services,Community Services,60005.38,1119,e4e4315d6032ce1aa69baa97a72639562eb3dbfc
"SR SPECIALIST, ECON SUSTAIN",Economic Health Office,Sustainability Services,59845.00,1120,da3e034f2b94cb1e0e67106492d75c28e9f5d437
CAPTAIN I - 56 HR/WK,Poudre Fire Authority,Poudre Fire Authority,59812.44,1121,3d74f3f31900301e34ce0c1d40e70553b89c92c3
"TECHNICIAN II, FACILITIES",Operation Services,Information & Employee Svcs,59730.58,1122,40b21da2f4aa1ba6c8cd3e6045bd2ff234dcf60e
"OPERATOR II, TRANSPORTATION OP",Streets,"Planning, Dev & Transportation",59636.96,1123,aacdd5dab8b680fac0f2c704cca97ffde8f9090b
"TECHNICIAN II, NATURAL AREAS",Natural Areas,Community Services,59583.89,1124,87ca6338299716911a3e3f7014ba5946a1e57f77
"TECHNICIAN II, GIS",Ut Smart Grid & System Ops Div,Utility Services,59393.33,1125,efeb64cbae2a56515e176ee4bc036f1ce869e260
LINE GROUNDWORKER,Electric Field Services,Utility Services,59385.01,1126,2e0b5dfb34aee650e0e544eb64b2360f38f3f632
"SPECIALIST, COMMUNICATIONS",Comm. & Public Involvement,Information & Employee Svcs,59357.93,1127,42eb3402a95c9723453e85dc507796cbccdf261d
"ANALYST I, FINANCE",Sustainability Services Admin,Sustainability Services,59302.41,1128,1bb8eb5b5ff1a659875c45718672fb970ae06c7c
NATURAL AREAS TRAILS RANGER,Natural Areas,Community Services,59277.76,1129,58405b2ad63fce480a75b4f3c6cfe320dcac7802
"SR COORDINATOR, FORESTRY",Parks,Community Services,59265.23,1130,255f6d5635304bc23c671ce6a8de03172ed3edc7
PLANT OPERATOR,Ut Wtr Reclama & Biosolids Div,Utility Services,59246.83,1131,a600eaa9222c8fedf944814d6d47c59012fa3d2d
"SPECIALIST, REAL ESTATE",Operation Services,Information & Employee Svcs,59240.67,1132,7dee3277ba6317cc09269b605bafd24b3d6b787a
BUSINESS SUPPORT III,Ut Water Systems Engr Div,Utility Services,59205.69,1133,883be77f660661dfdc1cc4f77a59f2ecb7f17f97
WATER UTILITY MAINT OPERATOR,Ut Distribution System Div,Utility Services,59203.20,1134,d98c22ea26d0136f5e2dd6855bd630c02e3fe68e
"SR INSPECTOR, CODE COMPLIANCE",Comm Dev & Neighborhood Svcs,"Planning, Dev & Transportation",59198.76,1135,2c15e701c1b1a2a5f6f1d3c9c121abb863e89f46
ELECTRIC METER TECH,Ut Standards Engineering Div,Utility Services,59160.49,1136,6a20e0b3f5dee1b50c8f6fc39fb4e0c714d364d3
"TECHNICIAN I, BLDG DEV REVIEW",Comm Dev & Neighborhood Svcs,"Planning, Dev & Transportation",59157.20,1137,3550cd91dbc34fa3f53bb1839c2214d74e69da3b
"SUPERVISOR, TRANSIT",Transfort / Parking Services,"Planning, Dev & Transportation",59082.81,1138,6d5b32085fba6e8954b04b040d3e5792d9447b98
"SR INSPECTOR, ZONING",Comm Dev & Neighborhood Svcs,"Planning, Dev & Transportation",59063.02,1139,cdabaf020de983d3820b96f887d89ad0d68dd6df
"TECH II, TRANSPORTATION OPS",Traffic,"Planning, Dev & Transportation",59054.55,1140,0e70fb2485c3c1344c2d412e280a16306b73a18d
WATER UTILITY MAINT OPERATOR,Ut Drainage System Div,Utility Services,59039.42,1141,9c3900085298ff3608323ac4a5fa3c820fc76a80
"PLANNER, CITY",Comm Dev & Neighborhood Svcs,"Planning, Dev & Transportation",59035.86,1142,3167ec42ed1245220cd7711b6e681c2886da5acb
"SR SPECIALIST, SCIENCES",Utilities Customer Connections,Utility Services,59018.53,1143,c18b15aa768617c95676c5f168b1363ad92d571c
"TECHNICIAN II, FORESTRY",Parks,Community Services,50530.84,1401,ea0e1457019b16f1ddf472b2f36898eebd47afa0
"TECHNICIAN II, CIVIL ENGR",Engineering,"Planning, Dev & Transportation",58930.61,1144,be590c22e76e145244c2416f3b4699462f2053f1
"TECHNICIAN II, MAINTENANCE",Ut Wtr Reclama & Biosolids Div,Utility Services,58923.67,1145,73e45be95d4e3077b023a9483d650753c7dbeb1e
"ANALYST I, FINANCE",PDT Administration,"Planning, Dev & Transportation",58908.22,1146,6bed39d1a1cfb3b00dd0b8b02025ca7e3848872b
"REP II, POLICE RECORDS",Police Information Services,Police Services,58874.31,1147,f6a91e2c95c7e0c5cd12fd6909a3bbf7bdd0d4c4
SYSTEMS ANALYST - DATA MGMT,Information Technology,Information & Employee Svcs,58861.14,1148,b6e2a7c3b62702a21e37e7e1da8937b95a2f5f5d
EMERGENCY COMMUN DISPATCHER,Police Information Services,Police Services,58842.65,1149,6c4f023e4d64350a723f762ef9f31b7bc0b6222a
"OFFICER II, ENFORCEMENT",Transfort / Parking Services,"Planning, Dev & Transportation",58829.36,1150,8de8066be14c2dbba25931e4869083f8af925263
PARK RANGER,Parks,Community Services,58813.74,1151,a3bf7509fc1de7ec1b776b78b3db32d036a7d7e2
WATER UTILITY MAINT OPERATOR,Ut Distribution System Div,Utility Services,58745.00,1152,5f9c806f43aaaafd66c085f7ff59e57f020fd7d1
"TECHNICIAN I, WATER FIELD UTIL",Ut Wtr Reclama & Biosolids Div,Utility Services,58685.17,1153,0e4a25370ffb6415626bec96b34488d7850b5261
"TECHNICIAN II, MAINTENANCE",Ut Wtr Reclama & Biosolids Div,Utility Services,58640.00,1154,96649fb3440cef4822d16afd6e81750d174117a2
"SR SUPERVISOR, ELECTRIC DIST",Electric Field Services,Utility Services,58639.71,1155,80fca9f4ffcb277359b942537eb19b12d7aeeee4
"TECHNICIAN II, NATURAL AREAS",Natural Areas,Community Services,58624.04,1156,256ca80de2d5b9ba3d0b06337c88be152703d9fa
"SUPERVISOR, TRANSIT",Transfort / Parking Services,"Planning, Dev & Transportation",58595.69,1157,a979fc4c01fe25d7f2f33b5a0e77655725e3925e
"ANALYST II, FINANCE",Finance Administration,Financial Services,58515.00,1158,8d276580d67d1d881e0df37a0a56c88f664a7d81
WATER METER SYSTEMS OPERATOR,Ut Water Meters Div,Utility Services,58395.99,1159,7446230f9e0955b06462a43c20201d9a9be670b7
"ANALYST II, APPS SOFTWARE",Information Technology,Information & Employee Svcs,58393.54,1160,f95e3cd0f9ba3636aed88e164843fdc670cf84c8
"TECHNICIAN I, PARKS",Parks,Community Services,58379.44,1161,ede2c0d33bf5a8e0bb9a7c058e19f2212226ebdc
CURATOR,Cultural Services,Community Services,58254.10,1162,376ce8a7d444b520cf4f57f07fe386736ecd1120
"TECHNICIAN II, MAINTENANCE",Ut Wtr Reclama & Biosolids Div,Utility Services,58213.07,1163,a575367232c33e5f74da4a4c346c5cdd4188c8fc
"TECHNICIAN II, NATURAL AREAS",Natural Areas,Community Services,58210.77,1164,c636ae83871cef2bae875f86adf87c8d8df0e6c3
"ANALYST I, APPS SOFTWARE",Ut Smart Grid & System Ops Div,Utility Services,58185.00,1165,f8b0eaf71420679b60b453e36723966fa25411b0
"TECHNICIAN I, PARKS",Parks,Community Services,58163.12,1166,3e547453260a2e58efbfb1eb123e74e6423ef1af
"TECH II, CUST SUPPRT-INACTIVE",Operation Services,Information & Employee Svcs,58128.69,1167,e239ca7db4a23eee1f0c7bfd6c0686bcf4a5ad8b
EMERGENCY COMMUN DISPATCHER,Police Information Services,Police Services,58063.04,1168,8be1f2fa83226dc1d654a670c7af6429eab8533c
"OPERATOR II, TRANSIT",Transfort / Parking Services,"Planning, Dev & Transportation",57996.28,1169,5b8d7db9b8fef9e2a39791f8507f2391b5597f40
"TECHNICIAN I, PARKS",Parks,Community Services,57993.01,1170,82bb6cdd990225ecd2af3512ea5f17eadffd5858
"LEAD COORD, UTILITY RATE/FEE",Utility Financial Operations,Utility Services,57988.15,1171,a59f3c5f13040135946955e019ea28b863e47c89
WATER METER TECHNICIAN,Ut Water Meters Div,Utility Services,57971.08,1172,d4889d7f3880d4ee85710cb45b7a6506b1c497af
"SR COORDINATOR, AP",Accounting and Treasury,Financial Services,57955.68,1173,01840057f48c6badcd5bb21809bbbf7684720088
"TECHNICIAN I, PARKS",Parks,Community Services,57945.55,1174,67568f121a1f3e4ef78e1b157ef477d8ccbc9e96
"OFFICER II, ENFORCEMENT",Transfort / Parking Services,"Planning, Dev & Transportation",57781.55,1175,7839d70729612f618e6b274c376ecf3c4537cd86
EMERGENCY COMMUN DISPATCHER,Police Information Services,Police Services,57771.55,1176,abb58c7149c911dec23f2b83216ce27038330711
"SPECIALIST, COMMUNICATIONS",Comm. & Public Involvement,Information & Employee Svcs,57740.27,1177,cef145a8f2a66ba4a6e3d0532569aa58f0b571f2
"TECHNICIAN II, FACILITIES",Operation Services,Information & Employee Svcs,57725.48,1178,18c613291b015b9ec936f482af1aa715cf6f978d
"SPECIALIST, ACTIVE MODES",FC Moves,"Planning, Dev & Transportation",57696.40,1179,ca23ed95269f67e7aff133a5ea46ac36ebcf41ac
POLICE LIEUTENANT,Patrol,Police Services,57690.42,1180,b86ad1709a77f94f47c5cb7b356e8e668fcb1627
"TECHNICIAN II, FACILITIES",Operation Services,Information & Employee Svcs,57672.41,1181,c5c0fe37f2cb9ec3dc75c737f3b7aff7a281a860
"TECHNICIAN II, FACILITIES",Operation Services,Information & Employee Svcs,57610.36,1182,133730137bc014651aa3c0a8d8dd0fedbdec3b4d
TRAFFIC CONTROL SUPERVISOR,Streets,"Planning, Dev & Transportation",57598.95,1183,279c6ccab4680f43ef7e5232888560ac7d86e396
"SPECIALIST, SOCIAL SUSTAIN",Social Sustainability,Sustainability Services,57552.91,1184,4015784f09a11766cbe2acc7f0a7d9c3569df033
LIBRARIAN - ADULT SERVICES,Library District,Library District,57536.60,1185,947b7b3144b2b509a0d0bd02b5d8b7c9c08dafd7
"REP II, POLICE RECORDS",Police Information Services,Police Services,57512.97,1186,cfe06df19d7ac37ae2ab94051bf84bbf2c1c614e
"OPERATOR I, TRANSPORTATION OPS",Streets,"Planning, Dev & Transportation",57449.52,1187,7f7858e485e7ccaa6bec23cc55f95cbbb2e6b5b5
"OPERATOR I, TRANSPORTATION OPS",Streets,"Planning, Dev & Transportation",57432.23,1188,e96255007e4a25e75934b47b3ae86726298cfede
EXECUTIVE ADMIN ASSISTANT,Finance Administration,Financial Services,57419.00,1189,6db3763dde6c2e0873e39c1e8208f2f0dfe518e2
PUBLIC EDUCATOR,Poudre Fire Authority,Poudre Fire Authority,57395.58,1190,dfcb4d826a89bc0dc443eab38f4228a07c3d3a53
"SR SPC, EMPLOYEE RELATIONS",Human Resources,Information & Employee Svcs,57330.00,1191,4f169d2e0b8a287c48573e1b1548c1fc6268160d
"SR COORDINATOR, RECREATION",Recreation,Community Services,57318.00,1192,f72ac10b92daa5fd8a1413062fe4b44a3c7da9a6
"TECHNICIAN II, CLIENT SERVICES",Police Information Services,Police Services,57312.16,1193,1940a3488b51eca87cdd8ec013964230d3daa134
CAPTAIN I - 56 HR/WK,Poudre Fire Authority,Poudre Fire Authority,57288.74,1194,bef1f87669c77dd10fe53c08a6439a13999d6ecc
LIBRARIAN - OUTREACH SERVICES,Library District,Library District,57264.83,1195,74f850200e404323e4c5432c495c7c7a11e33a8f
"TECHNICIAN II, NATURAL AREAS",Natural Areas,Community Services,57245.56,1196,0819b59b35ddf23d3f0a9737bd921696bd0f99da
"TECHNICIAN II, GIS",Information Technology,Information & Employee Svcs,57198.22,1197,4a2522d315f81821e6b71d32143b16e55eb8742f
"OPERATOR I, TRANSIT",Transfort / Parking Services,"Planning, Dev & Transportation",57183.53,1198,2ba732bbc81e977a79fbbfa3aa9db067317737fb
BUSINESS SUPPORT III,Comm Dev & Neighborhood Svcs,"Planning, Dev & Transportation",57175.93,1199,f37d47f946c81c1a6ac5afc30531617d0b5bc6fe
"SPECIALIST, SOCIAL SUSTAIN",Social Sustainability,Sustainability Services,57164.62,1200,f15abdb1950f2a0b2abde609590b1aa209bc224c
"SR COORDINATOR, RECREATION",Human Resources,Information & Employee Svcs,57106.18,1201,84378f6e2d26e3a182d1ac5c5ddb22fe3c0d9718
WATER UTILITY MAINT OPERATOR,Ut Distribution System Div,Utility Services,57091.08,1202,09e618fe4fabae6fd40e2ed2ebdd909c1abea39f
BIBLIOGRAPHIC SERVICES SPEC,Library District,Library District,57044.21,1203,7f7402d586578d47de47d84352c1a365c1ad8ea7
BIBLIOGRAPHIC SERVICES SPEC,Library District,Library District,57044.21,1204,7f7402d586578d47de47d84352c1a365c1ad8ea7
"SR COORDINATOR, RECREATION",Recreation,Community Services,57014.39,1205,efaf6a92b71d72d4a31b95c65725d82a07bd7ae8
CIRCULATION SUPERVISOR,Library District,Library District,57013.79,1206,b7d0452d70a693c2d34a0d51bcebbb72561448ad
CHEMIST,Ut Water Quality Services Div,Utility Services,56973.17,1207,a727bb783712562763b5d4b26ffc1feb2abf0fb9
"TECHNICIAN II, NATURAL AREAS",Natural Areas,Community Services,56853.27,1208,de075506403ba2f74a91620be226a6c70ab47b14
FIREFIGHTER INTRO - 56 HR/WK,Poudre Fire Authority,Poudre Fire Authority,56832.85,1209,21d0f4587f71f8cbb107ed0729f73f3cac36c85b
"MANAGER, PUBLIC ENGAGEMENT",Utilities Customer Connections,Utility Services,56741.94,1210,8c097a2d28dbb33d795f065b87da8b3522d4686d
"TECHNICIAN I, PARKS",Parks,Community Services,56690.94,1211,bbe4e2eb9a351f2406fd4245a9898c9be99ce0ab
WATER UTILITY MAINT OPERATOR,Ut Collection System Div,Utility Services,56686.58,1212,ebd8cd5beca8d09d803d37f894ea59fea11f87c4
"SR INSPECTOR, ZONING",Comm Dev & Neighborhood Svcs,"Planning, Dev & Transportation",56682.36,1213,be513b064fdd75cfcf24d609d60f25b487632008
"LEAD TECH, GRAPHIC DESIGN",Comm. & Public Involvement,Information & Employee Svcs,56681.22,1214,fdab20811bef28383e657a4f8f35c35aa94c7590
PC SUPPORT SPECIALIST,Information Technology,Information & Employee Svcs,56670.78,1215,15edce3aee1f8ac0e70fa62d002baf823319d354
"TECHNICIAN II, FACILITIES",Operation Services,Information & Employee Svcs,56663.70,1216,bb84292a488a2f60a67e2fc725fb9eac9f8c1e6e
"SUPERVISOR, ADMINISTRATION",Operation Services,Information & Employee Svcs,56653.38,1217,0b33c772dfb49e4a2be632e64baea566ebf05772
BUSINESS SUPPORT III,Police Administration,Police Services,56652.42,1218,0481d02a348fa9fc635375d1ffb31075cfa4d131
CURATOR,Cultural Services,Community Services,56642.09,1219,29d08b62d9c8f9a9fdbe63c00d94736a64aeec22
"TECHNICIAN II, FACILITIES",Operation Services,Information & Employee Svcs,56570.12,1220,8c2d7bc7279d0e7241c0e3c35dfd0f7275a642ff
"INSPECTOR, CODE COMPLIANCE",Comm Dev & Neighborhood Svcs,"Planning, Dev & Transportation",56562.27,1221,54a4afe67cb767ae8eceacc4f7939c333ef0c806
"TECHNICIAN I, PARKS",Parks,Community Services,56518.66,1222,927b69830ecc7d118bbc5437cf2dda01642f3731
"LEAD SPECIALIST, FORESTRY",Parks,Community Services,56477.72,1223,e7b957e00fcae3fd236e778d68eeb593532a9333
POLICE OFFICER,Community and Special Services,Police Services,56456.40,1224,6d8ddeacaaffb2cc1a835938ba4eef729f874b4f
"ANALYST I, HRIS",Human Resources,Information & Employee Svcs,56453.42,1225,c146e2b3e7d0654643fd9df93241165881674641
"TECHNICIAN II, NATURAL AREAS",Natural Areas,Community Services,56432.74,1226,cc7b9cc1a6445e680ec7b3b05f1f5070dedf3d42
"LEAD TECHNICIAN, VIDEO PROD",Comm. & Public Involvement,Information & Employee Svcs,56359.38,1227,9189d832ae8c02d9c39e74bc90e9d690739475c7
"LEAD TECHNICIAN, SCIENCES",Utilities Customer Connections,Utility Services,56282.75,1228,aea1bdd40e3c94496016548b35ccc9a63fcce932
"LEAD TECHNICIAN, VIDEO PROD",Comm. & Public Involvement,Information & Employee Svcs,56276.13,1229,b4d7cb9b7b164cd3170da00fbd6d6c1e3b4f842f
"SR COORDINATOR, COMMUNICATIONS",Comm. & Public Involvement,Information & Employee Svcs,56185.51,1230,00aea968a7a2942ee98f4061ba94bd2472b72b18
"SR COORD, SALES TAX AUDIT REV",Sales Tax,Financial Services,56177.26,1231,3c303d70a2ecf8191b72aec01f4c980298965a40
"OPERATOR I, TRANSIT",Transfort / Parking Services,"Planning, Dev & Transportation",56148.86,1232,703e2f99b997a90f0705d4fa83b34c570c27f9fd
"TECHNICIAN II, TRAFFIC ENGR",Traffic,"Planning, Dev & Transportation",56030.71,1233,9cbb6defd7dbd168cc8f69f693dcc20882202e7a
"OPERATOR I, TRANSPORTATION OPS",Streets,"Planning, Dev & Transportation",56009.43,1234,a0d38cef38902726a2e0439fd4ad0ee33c082fd1
ELECTRICAL ENGINEER III,L&P Operations Service Unit,Utility Services,55965.00,1235,b21e61fa46160f98f90ef5ea7479deaac3c0c2a8
SR LEGAL ASSISTANT,City Attorney's Office,Legal Services,55916.07,1236,7af11e4e8ac5f5c3148155af5882ae72c6b21d5c
"TECHNICIAN I, PARKS",Parks,Community Services,55894.91,1237,6cf4ece43e9ac95c7c50dac68eac6d9a128b7359
"COORDINATOR, FINANCE",PDT Administration,"Planning, Dev & Transportation",55850.85,1238,0869346651a1bf0dc0b8dd8ef10194b48c2b18eb
"TECHNICIAN I, FACILITIES",Transfort / Parking Services,"Planning, Dev & Transportation",55819.44,1239,c8ae73764c7cb6a8d7fb4b9c42322a640080e6d8
"OPERATOR I, TRANSPORTATION OPS",Streets,"Planning, Dev & Transportation",55762.19,1240,ab8bd57fe15fbf116c2f84cf2a56a5c3848c739c
"SPECIALIST, FACILITIES",Operation Services,Information & Employee Svcs,55719.14,1241,de095af66181916d1ae41d94e003a00b2ec3d289
"TECHNICIAN II, MAINTENANCE",Ut Wtr Reclama & Biosolids Div,Utility Services,55612.89,1242,b3db059bdd026e3b2f299d24b0cfe4ad77abeb2e
WATER METER SYSTEMS OPERATOR,Ut Water Meters Div,Utility Services,55579.84,1243,4889beb980a88bd84ef71f8e4fea833ccdf08c1b
"SPECIALIST, PUBLIC ENGAGEMENT",Natural Areas,Community Services,55578.00,1244,609fc9f825cb0cddb0851dca6fa2800cc5614007
"SR COORDINATOR, RECREATION",Recreation,Community Services,55548.26,1245,96574478de58daafa88817d89631e3852f635d44
"SUPERVISOR, CUSTOMER SUPPORT",Cultural Services,Community Services,55545.66,1246,38020e432e8d900087f8ebc14d7f58936515b273
MAINTENANCE SPECIALIST-INACTIV,Ut Water Production Div,Utility Services,55536.04,1247,89955d00eea3843da9e7e5d9010bb3bfdc138a67
"SR REP, CULTURAL SVCS",Cultural Services,Community Services,55491.53,1248,648d8ace636710da2c57fd6ba9fb85983a5aa39a
UTILITY FACILITY LOCATOR,Electric Field Services,Utility Services,55464.78,1249,40efacbc74a3139ee5a2b5a2d61fa9cc1f942cc1
